Person Chinese Name,Person Pinyin Name,Person Title,Person Branch,PBSC Chinese Name,PBSC Pinyin Name,Shared Anchor,Anchor Type,Binary Overlap,Episode Pair Count,Total Overlap Years,Max Continuous Overlap Years,Earliest Overlap Start,Latest Overlap End,Years From Last Overlap To 20th CC,Timing Bucket,Person Rank At Overlap,Person Career Stage At Overlap,PBSC Member Rank At Overlap,PBSC Member Career Stage At Overlap,Role Relationship,Context System Tags,Mechanical Confidence,Confidence Rationale,Manual Faction Label,Manual Faction Notes,Weighted Overlap Score,Person Biography Status,Person Episode Count,Person Data Quality,Person Is Baidu Gap,Sample Evidence
丁向群,Ding Xiangqun,Secretary of the Party Committee and Chairman of the China Life Insurance Company Limited,SOE,蔡奇,Cai Qi,浙江,province/municipality,1,1,2,2,2005,2006,16,older overlap,2,local/department leadership,2,local/department leadership,near-peer rank at overlap,,Medium,same province/municipality with limited overlapping years,,,4.25,matched_title,20,usable,,浙江 2005-2006: 2005-2006 中国银行浙江省分行副行长兼宁波市分行行长、党委书记 ↔ 蔡奇 2004-2007 浙江省台州市委书记
丁向群,Ding Xiangqun,Secretary of the Party Committee and Chairman of the China Life Insurance Company Limited,SOE,李强,Li Qiang,浙江,province/municipality,1,2,2,2,2005,2006,16,older overlap,2,local/department leadership,3,vice-ministerial/provincial deputy,PBSC member likely senior at overlap,,Medium,same province/municipality with limited overlapping years,,,4.5,matched_title,20,usable,,"浙江 2005-2005: 2005-2006 中国银行浙江省分行副行长兼宁波市分行行长、党委书记 ↔ 李强 2004-2005 浙江省委秘书长
浙江 2005-2006: 2005-2006 中国银行浙江省分行副行长兼宁波市分行行长、党委书记 ↔ 李强 2005-2011 浙江省委常委、秘书长 （2003-2005年 香港理工大学管理学院工商管理专业学习，获高级管理人员工商管理硕士学位）"
丁向群,Ding Xiangqun,Secretary of the Party Committee and Chairman of the China Life Insurance Company Limited,SOE,习近平,Xi Jinping,浙江,province/municipality,1,1,2,2,2005,2006,16,older overlap,2,local/department leadership,4,ministerial/provincial chief,PBSC member clearly senior at overlap,,Medium,same province/municipality with limited overlapping years,,,4.25,matched_title,20,usable,,浙江 2005-2006: 2005-2006 中国银行浙江省分行副行长兼宁波市分行行长、党委书记 ↔ 习近平 2003-2007 浙江省委书记、省人大常委会主任，浙江省军区党委第一书记
严金海（藏族）,Yan Jinhai (Zangzu),"Deputy Secretary of the Tibet Autonomous Region Party Committee, Secretary of the Party Leadership Group of the Standing Committee of the Tibet Autonomous Region People's Congress, and Chairman",Provincial committee,赵乐际,Zhao Leji,青海,province/municipality,1,29,28,28,1980,2007,15,older overlap,3,vice-ministerial/provincial deputy,4,ministerial/provincial chief,PBSC member likely senior at overlap,party_center,High,same province/municipality with sustained or repeated overlapping career episodes,,,51.25,matched_title,21,usable,,"青海 1980-1982: 1978-1982 青海民族学院汉语文系汉语言文学专业学习 ↔ 赵乐际 1980-1982 青海省商业厅政治处干事，省商业学校教师、校团委书记
青海 1982-1982: 1978-1982 青海民族学院汉语文系汉语言文学专业学习 ↔ 赵乐际 1982-1983 青海省商业学校教务科副科长
青海 1982-1982: 1982-1984 青海省黄南州民族师范学校干部 ↔ 赵乐际 1980-1982 青海省商业厅政治处干事，省商业学校教师、校团委书记
青海 1982-1983: 1982-1984 青海省黄南州民族师范学校干部 ↔ 赵乐际 1982-1983 青海省商业学校教务科副科长
青海 1983-1984: 1982-1984 青海省黄南州民族师范学校干部 ↔ 赵乐际 1983-1984 青海省商业厅政治处副主任、厅团委书记"
任振鹤,Ren Zhenhe,Governor of Gansu; Deputy Secretary of the Gansu Provincial Party Committee; Chairman of the Provincial Committee’s Finance Committee;  Secretary of Party Leadership Group,Provincial committee,丁薛祥,Ding Xuexiang,上海,province/municipality,1,1,1,1,1995,1995,27,older overlap,2,local/department leadership,2,local/department leadership,near-peer rank at overlap,,Medium,same province/municipality with limited overlapping years,,,2.75,matched_title,31,usable,,上海 1995-1995: 1993-1996 湖北省鹤峰县委常委、副县长（其间：1995.05—1995.11挂职任上海市普陀区工商局副局长） ↔ 丁薛祥 1994-1996 上海材料研究所副所长 （1989-1994年复旦大学管理学院行政管理专业在职研究生学习，获理学硕士学位）
何卫东,He Weidong,CMC Vice Chairman,PLA,李希,Li Xi,上海,province/municipality,1,1,1,1,2014,2014,8,medium-term before 20th Congress,2,local/department leadership,3,vice-ministerial/provincial deputy,PBSC member likely senior at overlap,,Medium,same province/municipality with limited overlapping years,,,2.75,matched_title,9,usable,,上海 2014-2014: 2014-2014 3月，任上海警备区司令员。 ↔ 李希 2013-2014 上海市委副书记，中国浦东干部学院理事会副理事长、第一副院长
侯凯,Hou Kai,Secretary of the Party Leadership Group and Auditor General of the National Audit Office,State Council,丁薛祥,Ding Xuexiang,上海,province/municipality,1,1,1,1,2013,2013,9,medium-term before 20th Congress,2,local/department leadership,2,local/department leadership,near-peer rank at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,2.75,matched_title,20,usable,,上海 2013-2013: 2013-2016 中央纪委常委，上海市委常委、市纪委书记； ↔ 丁薛祥 2012-2013 上海市委常委、政法委书记
侯凯,Hou Kai,Secretary of the Party Leadership Group and Auditor General of the National Audit Office,State Council,李希,Li Xi,上海,province/municipality,1,2,2,2,2013,2014,8,medium-term before 20th Congress,2,local/department leadership,4,ministerial/provincial chief,PBSC member clearly senior at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,4.5,matched_title,20,usable,,"上海 2013-2013: 2013-2016 中央纪委常委，上海市委常委、市纪委书记； ↔ 李希 2011-2013 上海市委常委、组织部部长
上海 2013-2014: 2013-2016 中央纪委常委，上海市委常委、市纪委书记； ↔ 李希 2013-2014 上海市委副书记，中国浦东干部学院理事会副理事长、第一副院长"
侯建国,Hou Jianguo,President of the Chinese Academy of Sciences,Academic institution,蔡奇,Cai Qi,福建,province/municipality,1,2,3,3,1989,1991,31,older overlap,2,local/department leadership,3,vice-ministerial/provincial deputy,PBSC member likely senior at overlap,,Medium,same province/municipality with limited overlapping years,,,6.0,matched_title,24,usable,,"福建 1989-1991: 1989-1991 在中国科学院福建物质结构研究所从事博士后研究。 ↔ 蔡奇 1987-1991 福建省委办公厅正处级秘书
福建 1991-1991: 1989-1991 在中国科学院福建物质结构研究所从事博士后研究。 ↔ 蔡奇 1991-1992 福建省委政改办副主任"
侯建国,Hou Jianguo,President of the Chinese Academy of Sciences,Academic institution,习近平,Xi Jinping,福建,province/municipality,1,2,3,3,1989,1991,31,older overlap,2,local/department leadership,2,local/department leadership,near-peer rank at overlap,,Medium,same province/municipality with limited overlapping years,,,6.0,matched_title,24,usable,,"福建 1989-1990: 1989-1991 在中国科学院福建物质结构研究所从事博士后研究。 ↔ 习近平 1988-1990 福建省宁德地委书记，宁德军分区党委第一书记
福建 1990-1991: 1989-1991 在中国科学院福建物质结构研究所从事博士后研究。 ↔ 习近平 1990-1993 福建省福州市委书记、市人大常委会主任，福州军分区党委第一书记"
