Person Chinese Name,Person Pinyin Name,Person Title,PBSC Chinese Name,PBSC Pinyin Name,Binary Overlap,Distinct Anchor Count,Shared Anchors,Anchor Types,Total Episode Pair Count,Total Anchor-Years,Max Continuous Overlap Years,Earliest Overlap Start,Latest Overlap End,Years From Last Overlap To 20th CC,Timing Bucket,Strongest Mechanical Confidence,Manual Faction Label,Manual Faction Notes,Weighted Overlap Score,Person Data Quality
赵一德,Zhao Yide,Secretary of the Shaanxi Provincial Party Committee,李强,Li Qiang,1,1,浙江,province/municipality,47,35,35,1982,2016,6,medium-term before 20th Congress,High,,,66.25,usable
陈一新,Chen Yixin,Minister of State Security; Member of the Central Political and Legal Affairs Commission,李强,Li Qiang,1,1,浙江,province/municipality,38,35,32,1976,2015,7,medium-term before 20th Congress,High,,,64.0,usable
应勇,Ying Yong,Procurator-General of the Supreme People's Procuratorate,李强,Li Qiang,1,2,上海; 浙江,province/municipality,45,32,22,1976,2020,2,recent before 20th Congress,High,,,62.25,usable
楼阳生,Lou Yangsheng,Former Party Chief of Henan Province (retired),李强,Li Qiang,1,2,浙江; 浙江大学,province/municipality; university/research,42,34,28,1976,2009,13,older overlap,High,,,61.8,usable
黄坤明,Huang Kunming,Secretary of the Guangdong Provincial Party Committee,蔡奇,Cai Qi,1,2,浙江; 福建,province/municipality,33,32,17,1983,2013,9,medium-term before 20th Congress,High,,,60.25,usable
曲青山,Qu Qingshan,President of CCP History and Literature Research Institute,赵乐际,Zhao Leji,1,1,青海,province/municipality,36,29,22,1974,2007,15,older overlap,High,Y,Qinghai,59.5,usable
陈敏尔,Chen Min'er,Politburo member; Party secretary of Tianjin,李强,Li Qiang,1,1,浙江,province/municipality,41,31,31,1982,2012,10,medium-term before 20th Congress,High,,,58.75,usable
徐麟,Xu Lin,Secretary of the Guizhou Provincial Party Committee,丁薛祥,Ding Xuexiang,1,1,上海,province/municipality,30,32,32,1982,2013,9,medium-term before 20th Congress,High,,,57.5,usable
王予波,Wang Yubo,"Deputy Secretary of the Yunnan Province Party Committee; Governer of Yunnan Province; Secretary, Party Leadership Group",赵乐际,Zhao Leji,1,1,青海,province/municipality,30,25,24,1980,2007,15,older overlap,High,Y,Qinghai,52.0,usable
王文涛,Wang Wentao,Minister and Secretary of Party Leadership Group of Ministry of Commerce ,丁薛祥,Ding Xuexiang,1,1,上海,province/municipality,24,26,21,1985,2011,11,older overlap,High,Y,Shanghai,52.0,usable
严金海（藏族）,Yan Jinhai (Zangzu),"Deputy Secretary of the Tibet Autonomous Region Party Committee, Secretary of the Party Leadership Group of the Standing Committee of the Tibet Autonomous Region People's Congress, and Chairman",赵乐际,Zhao Leji,1,1,青海,province/municipality,29,28,28,1980,2007,15,older overlap,High,,,51.25,usable
王曦,Wang Xi,Vice Governor of Guangdong,丁薛祥,Ding Xuexiang,1,1,上海,province/municipality,28,27,27,1987,2013,9,medium-term before 20th Congress,High,,,49.5,usable
沈晓明,Shen Xiaoming,Secretary of the Hunan Provincial Party Committee,丁薛祥,Ding Xuexiang,1,1,上海,province/municipality,27,26,26,1988,2013,9,medium-term before 20th Congress,High,,,47.75,usable
唐登杰,Tang Dengjie,Sectretary of the Shanxi  Provincial Party Committee,丁薛祥,Ding Xuexiang,1,1,上海,province/municipality,20,26,26,1986,2011,11,older overlap,High,,,46.0,usable
